EventID readout: 0, Energy readout: 96.7003
EventID readout: 2, Energy readout: 6.84894
EventID readout: 4, Energy readout: 1.55278
EventID readout: 6, Energy readout: 79.2241
EventID readout: 7, Energy readout: 8.58662
EventID readout: 8, Energy readout: 8.38956
EventID readout: 9, Energy readout: 197.437
EventID readout: 11, Energy readout: 48.2973
EventID readout: 12, Energy readout: 2.62844
EventID readout: 13, Energy readout: 3.63324
EventID readout: 14, Energy readout: 1.04185
EventID readout: 15, Energy readout: 33.0855
EventID readout: 16, Energy readout: 2.86209
EventID readout: 17, Energy readout: 5.60251
EventID readout: 20, Energy readout: 150.46
EventID readout: 21, Energy readout: 163.44
EventID readout: 25, Energy readout: 4.67965
EventID readout: 29, Energy readout: 159.075
EventID readout: 30, Energy readout: 5.77787
EventID readout: 31, Energy readout: 3.25551
EventID readout: 32, Energy readout: 81.3448
EventID readout: 34, Energy readout: 51.292
EventID readout: 36, Energy readout: 3.42327
EventID readout: 38, Energy readout: 1.83429
EventID readout: 39, Energy readout: 67.8911
EventID readout: 43, Energy readout: 2.21295
EventID readout: 44, Energy readout: 159.459
EventID readout: 45, Energy readout: 182.01
EventID readout: 46, Energy readout: 22.2811
EventID readout: 47, Energy readout: 78.618
EventID readout: 52, Energy readout: 26.8548
EventID readout: 56, Energy readout: 17.4057
EventID readout: 64, Energy readout: 125.053
EventID readout: 65, Energy readout: 6.38091
EventID readout: 66, Energy readout: 47.3943
EventID readout: 67, Energy readout: 2.21984
EventID readout: 69, Energy readout: 1.86163
EventID readout: 73, Energy readout: 34.2406
EventID readout: 74, Energy readout: 191.74
EventID readout: 75, Energy readout: 0.5381
EventID readout: 77, Energy readout: 5.5011
EventID readout: 82, Energy readout: 39.3739
EventID readout: 84, Energy readout: 5.91967
EventID readout: 85, Energy readout: 20.0913
EventID readout: 86, Energy readout: 27.667
EventID readout: 87, Energy readout: 12.0307
EventID readout: 88, Energy readout: 171.872
EventID readout: 91, Energy readout: 2.51761
EventID readout: 93, Energy readout: 23.3907
EventID readout: 98, Energy readout: 7.09692
EventID readout: 99, Energy readout: 49.6576
EventID readout: 100, Energy readout: 67.27
EventID readout: 101, Energy readout: 1.676
EventID readout: 102, Energy readout: 87.123
EventID readout: 112, Energy readout: 4.8431
EventID readout: 115, Energy readout: 90.7213
EventID readout: 117, Energy readout: 14.1726
EventID readout: 121, Energy readout: 0.129302
EventID readout: 123, Energy readout: 3.16507
EventID readout: 124, Energy readout: 0.529726
EventID readout: 127, Energy readout: 146.251
EventID readout: 133, Energy readout: 3.64117
EventID readout: 135, Energy readout: 0.351723
EventID readout: 136, Energy readout: 151.684
EventID readout: 138, Energy readout: 0.366419
EventID readout: 140, Energy readout: 5.04785
EventID readout: 141, Energy readout: 161.761
EventID readout: 142, Energy readout: 1.13082
EventID readout: 143, Energy readout: 11.6324
EventID readout: 144, Energy readout: 116.33
EventID readout: 147, Energy readout: 1.48534
EventID readout: 150, Energy readout: 0.711859
EventID readout: 154, Energy readout: 141.675
EventID readout: 155, Energy readout: 11.7842
EventID readout: 158, Energy readout: 19.1516
EventID readout: 160, Energy readout: 150.138
EventID readout: 161, Energy readout: 176.079
EventID readout: 162, Energy readout: 168.207
EventID readout: 163, Energy readout: 157.587
EventID readout: 165, Energy readout: 15.6064
EventID readout: 167, Energy readout: 19.144
EventID readout: 168, Energy readout: 2.33289
EventID readout: 169, Energy readout: 74.6804
EventID readout: 171, Energy readout: 26.74
EventID readout: 172, Energy readout: 2.7947
EventID readout: 177, Energy readout: 46.1713
EventID readout: 178, Energy readout: 0.0709946
EventID readout: 179, Energy readout: 127.077
EventID readout: 182, Energy readout: 21.2752
EventID readout: 185, Energy readout: 98.3607
EventID readout: 187, Energy readout: 105.152
EventID readout: 188, Energy readout: 165.464
EventID readout: 189, Energy readout: 3.65399
EventID readout: 190, Energy readout: 109.228
EventID readout: 191, Energy readout: 1.78529
EventID readout: 192, Energy readout: 5.25081
EventID readout: 194, Energy readout: 2.57006
EventID readout: 196, Energy readout: 28.1985
EventID readout: 198, Energy readout: 1.84962
EventID readout: 199, Energy readout: 1.94903
EventID readout: 200, Energy readout: 1.82368
EventID readout: 202, Energy readout: 3.88703
EventID readout: 206, Energy readout: 1.55329
EventID readout: 207, Energy readout: 19.1678
EventID readout: 208, Energy readout: 11.603
EventID readout: 209, Energy readout: 20.7935
EventID readout: 212, Energy readout: 4.92245
EventID readout: 213, Energy readout: 10.1971
EventID readout: 214, Energy readout: 21.6377
EventID readout: 216, Energy readout: 41.994
EventID readout: 220, Energy readout: 18.5866
EventID readout: 221, Energy readout: 189.89
EventID readout: 228, Energy readout: 36.3377
EventID readout: 231, Energy readout: 1.3994
EventID readout: 233, Energy readout: 3.91135
EventID readout: 234, Energy readout: 61.6841
EventID readout: 238, Energy readout: 5.01704
EventID readout: 241, Energy readout: 48.3578
EventID readout: 252, Energy readout: 43.4981
EventID readout: 253, Energy readout: 0.897783
EventID readout: 256, Energy readout: 32.238
EventID readout: 258, Energy readout: 38.1896
EventID readout: 261, Energy readout: 8.25274
EventID readout: 264, Energy readout: 158.972
EventID readout: 265, Energy readout: 1.05447
EventID readout: 268, Energy readout: 58.9796
EventID readout: 270, Energy readout: 69.8707
EventID readout: 272, Energy readout: 11.986
EventID readout: 274, Energy readout: 17.5495
EventID readout: 275, Energy readout: 0.186347
EventID readout: 277, Energy readout: 112.325
EventID readout: 280, Energy readout: 26.0182
EventID readout: 284, Energy readout: 53.5375
EventID readout: 286, Energy readout: 95.2193
EventID readout: 291, Energy readout: 74.5763
EventID readout: 293, Energy readout: 155.844
EventID readout: 294, Energy readout: 1.14747
EventID readout: 295, Energy readout: 18.9829
EventID readout: 302, Energy readout: 31.7168
EventID readout: 304, Energy readout: 0.814811
EventID readout: 311, Energy readout: 110.708
EventID readout: 312, Energy readout: 5.58212
EventID readout: 315, Energy readout: 20.027
EventID readout: 317, Energy readout: 2.3284
