EventID	TotalHits	UniqueHits	Ratio
0	330	42	0.127273
2	85	35	0.411765
4	8	8	1
6	181	43	0.237569
7	38	38	1
8	8	8	1
9	381	364	0.955381
11	361	331	0.916898
12	34	34	1
13	51	51	1
14	76	51	0.671053
15	395	320	0.810127
16	354	43	0.121469
17	101	101	1
20	696	377	0.541667
21	2649	766	0.289166
25	202	80	0.39604
29	825	575	0.69697
30	60	48	0.8
31	387	54	0.139535
32	368	368	1
34	166	118	0.710843
36	85	85	1
38	111	63	0.567568
39	477	477	1
43	17	17	1
44	677	538	0.794682
45	1232	1225	0.994318
46	4014	419	0.104385
47	4144	565	0.136342
52	59	59	1
56	329	155	0.471125
64	2651	574	0.216522
65	109	109	1
66	2223	856	0.385065
67	41	41	1
69	56	56	1
73	63	9	0.142857
74	1513	1377	0.910112
75	31	31	1
77	57	57	1
82	1281	159	0.124122
84	244	174	0.713115
85	554	554	1
86	209	209	1
87	63	19	0.301587
88	4893	1498	0.306152
91	25	25	1
93	515	128	0.248544
98	268	268	1
99	160	55	0.34375
100	1228	1210	0.985342
101	161	37	0.229814
102	1735	1560	0.899135
112	291	106	0.364261
115	354	312	0.881356
117	961	515	0.5359
121	16	16	1
123	36	36	1
124	178	65	0.365169
127	11376	1441	0.12667
133	430	172	0.4
135	159	21	0.132075
136	1615	1020	0.631579
138	129	18	0.139535
140	2055	237	0.115328
141	3123	1380	0.441883
142	94	46	0.489362
143	120	15	0.125
144	2187	1734	0.792867
147	55	55	1
150	254	92	0.362205
154	3633	1879	0.517203
155	306	306	1
158	175	25	0.142857
160	12126	1626	0.134092
161	540	395	0.731481
162	5097	1922	0.377085
163	1553	1553	1
165	1870	194	0.103743
167	708	91	0.128531
168	315	84	0.266667
169	1076	850	0.789963
171	106	17	0.160377
172	41	41	1
177	2161	259	0.119852
178	11	11	1
179	182	182	1
182	130	51	0.392308
185	1383	1335	0.965293
187	8194	1889	0.230535
188	13025	2333	0.179117
189	52	13	0.25
190	509	509	1
191	743	86	0.115747
192	1007	146	0.144985
194	114	114	1
196	13	13	1
198	219	28	0.127854
199	51	51	1
200	175	74	0.422857
202	127	127	1
206	354	40	0.112994
207	180	27	0.15
208	70	28	0.4
209	7	7	1
212	189	27	0.142857
213	268	268	1
214	838	724	0.863962
216	1793	943	0.525934
220	174	56	0.321839
221	11412	1612	0.141255
228	2008	673	0.335159
231	82	82	1
233	47	47	1
234	751	127	0.169108
238	721	75	0.104022
241	3894	1366	0.350796
252	588	540	0.918367
253	455	62	0.136264
256	6	6	1
258	800	163	0.20375
261	2950	277	0.0938983
264	3524	1907	0.541146
265	86	86	1
268	4492	678	0.150935
270	483	483	1
272	31	31	1
274	1672	319	0.190789
275	11	9	0.818182
277	1286	1286	1
280	252	252	1
284	1067	825	0.773196
286	4572	1330	0.290901
291	1639	1587	0.968273
293	2602	2438	0.936972
294	14	14	1
295	761	637	0.837057
302	175	103	0.588571
304	375	49	0.130667
311	1903	1800	0.945875
312	30	30	1
315	65	49	0.753846
317	627	73	0.116427
319	20	20	1
323	4096	380	0.0927734
324	215	37	0.172093
326	881	110	0.124858
328	314	42	0.133758
329	80	12	0.15
330	288	91	0.315972
331	88	11	0.125
332	618	618	1
333	7	7	1
334	268	144	0.537313
335	1912	235	0.122908
337	2346	269	0.114663
340	187	152	0.812834
344	78	78	1
346	1794	840	0.468227
348	3	3	1
351	10	10	1
352	17	17	1
353	119	29	0.243697
354	32	32	1
357	15	15	1
358	1406	1290	0.917496
360	309	159	0.514563
363	112	14	0.125
366	1893	1871	0.988378
369	27	27	1
371	98	14	0.142857
372	1433	905	0.631542
373	227	227	1
374	154	22	0.142857
377	2324	305	0.131239
379	34	34	1
382	25	25	1
383	6	2	0.333333
386	268	118	0.440299
388	5916	1290	0.218053
389	147	21	0.142857
393	904	167	0.184735
394	468	55	0.117521
397	181	181	1
403	968	968	1
406	856	106	0.123832
407	2449	1861	0.759902
410	2313	1861	0.804583
413	1919	1919	1
414	980	129	0.131633
423	11469	1893	0.165054
427	399	57	0.142857
428	2994	1562	0.52171
429	72	72	1
430	54	54	1
431	27	27	1
433	8	8	1
437	427	343	0.803279
439	1497	129	0.0861723
441	428	49	0.114486
445	16	16	1
447	4123	548	0.132913
452	39	39	1
456	1506	1108	0.735724
457	14945	2324	0.155504
459	5461	2682	0.491119
460	168	96	0.571429
461	353	47	0.133144
462	50	8	0.16
465	338	50	0.147929
469	77	11	0.142857
470	2145	655	0.305361
472	197	29	0.147208
473	145	79	0.544828
474	60	60	1
475	1870	130	0.0695187
477	436	162	0.37156
478	68	68	1
480	217	139	0.640553
484	3354	2560	0.763268
485	611	325	0.531915
489	1004	980	0.976096
490	2751	2186	0.79462
494	155	65	0.419355
495	14	14	1
496	5283	2600	0.492145
497	1975	1524	0.771646
498	2596	280	0.107858
499	1354	366	0.27031
502	136	136	1
504	1222	131	0.107201
506	12	12	1
507	503	503	1
509	360	72	0.2
511	584	99	0.169521
515	6260	724	0.115655
516	367	52	0.141689
519	14	14	1
520	165	39	0.236364
523	110	14	0.127273
525	3552	656	0.184685
526	122	74	0.606557
527	1869	393	0.210273
529	3033	2537	0.836466
530	114	114	1
532	3442	2969	0.86258
533	44	44	1
534	1517	492	0.324324
535	14	14	1
539	20	20	1
540	2284	375	0.164186
541	6620	1016	0.153474
545	445	84	0.188764
548	863	863	1
549	1130	1023	0.90531
552	9912	1426	0.143866
555	4313	614	0.14236
556	42	6	0.142857
561	578	578	1
562	98	14	0.142857
563	3058	2528	0.826684
564	8	8	1
567	3147	629	0.199873
568	1599	806	0.504065
569	1280	1280	1
570	281	128	0.455516
571	667	222	0.332834
576	805	431	0.535404
577	6630	742	0.111916
581	1994	579	0.290371
582	194	194	1
585	569	261	0.458699
586	4104	1329	0.32383
587	3886	587	0.151055
590	1880	1678	0.892553
591	850	850	1
592	39	39	1
595	97	97	1
597	88	11	0.125
598	158	158	1
602	496	299	0.602823
603	2130	1765	0.828638
610	13	13	1
611	534	534	1
616	2899	368	0.12694
617	1246	1148	0.921348
620	8264	2119	0.256413
622	260	37	0.142308
624	156	24	0.153846
626	304	152	0.5
627	588	588	1
629	348	348	1
630	1899	1835	0.966298
632	156	99	0.634615
637	13	13	1
641	303	39	0.128713
643	94	94	1
645	225	25	0.111111
646	6951	2474	0.35592
647	25	25	1
660	121	121	1
661	9323	1048	0.11241
662	19	19	1
663	367	232	0.632153
668	381	381	1
670	22	22	1
672	6817	976	0.143171
673	951	734	0.771819
674	7764	836	0.107676
675	9285	1060	0.114163
676	6755	829	0.122724
678	2530	2037	0.805138
682	88	11	0.125
683	105	15	0.142857
684	110	25	0.227273
685	1641	244	0.14869
686	1684	1141	0.677553
687	266	266	1
691	35	19	0.542857
692	505	88	0.174257
695	254	198	0.779528
696	383	51	0.133159
699	12870	1318	0.102409
701	96	16	0.166667
702	356	174	0.488764
703	791	100	0.126422
704	1494	1421	0.951138
705	1612	492	0.305211
706	4204	1690	0.401998
707	239	239	1
711	64	64	1
712	9	9	1
713	11711	2611	0.222953
714	1351	1301	0.96299
716	760	94	0.123684
719	274	70	0.255474
724	161	23	0.142857
726	3230	2616	0.809907
727	2617	2195	0.838747
730	1798	217	0.12069
733	169	169	1
735	3669	609	0.165985
738	64	64	1
741	296	37	0.125
743	1894	1746	0.921859
746	248	31	0.125
747	67	67	1
748	54	54	1
750	121	121	1
751	1279	1279	1
752	1422	1422	1
754	9266	1334	0.143967
755	103	103	1
758	884	739	0.835973
760	988	661	0.669028
761	500	118	0.236
764	1839	203	0.110386
765	15	15	1
766	17	17	1
767	613	165	0.269168
769	696	696	1
770	232	232	1
771	65	11	0.169231
772	253	253	1
774	338	47	0.139053
776	4387	433	0.0987007
779	5030	558	0.110934
780	392	49	0.125
781	1318	1072	0.813354
783	1738	1702	0.979287
789	6659	826	0.124043
792	280	280	1
794	41	41	1
797	257	34	0.132296
799	1124	740	0.658363
800	138	33	0.23913
804	29	29	1
806	690	426	0.617391
813	448	236	0.526786
814	248	176	0.709677
816	2982	2677	0.89772
819	15408	2010	0.130452
821	131	55	0.419847
822	2123	744	0.350447
823	389	52	0.133676
828	690	572	0.828986
831	3579	3071	0.858061
832	29	17	0.586207
835	26	26	1
841	653	607	0.929556
846	8340	1026	0.123022
848	176	22	0.125
849	147	147	1
850	198	198	1
851	218	32	0.146789
852	161	161	1
854	65	65	1
857	23	23	1
858	253	247	0.976285
859	331	331	1
863	14	14	1
864	5870	542	0.0923339
866	123	25	0.203252
869	472	472	1
870	4	4	1
871	101	24	0.237624
873	561	397	0.707665
874	6184	962	0.155563
875	1048	128	0.122137
879	99	39	0.393939
881	630	361	0.573016
883	3611	2991	0.828302
884	6055	2310	0.381503
885	3654	1048	0.286809
888	53	53	1
