
Processing energy_r.C...
Primary TrackID: 1 Energy: 1
TrackID: 1 HitID: 0 energy: 0
TrackID: 1 HitID: 1 energy: 0
TrackID: 1 HitID: 2 energy: 0
TrackID: 1 HitID: 3 energy: 0
TrackID: 1 HitID: 4 energy: 0
TrackID: 1 HitID: 5 energy: 0
TrackID: 1 HitID: 6 energy: 0
TrackID: 3 HitID: 62 energy: 0.000330422
TrackID: 3 HitID: 63 energy: 0.0014397
TrackID: 3 HitID: 64 energy: 0.000684447
TrackID: 3 HitID: 65 energy: 0.000849658
TrackID: 3 HitID: 66 energy: 0.000708048
TrackID: 3 HitID: 67 energy: 0.000778853
TrackID: 3 HitID: 68 energy: 0.000472032
TrackID: 4 HitID: 39 energy: 0.00403587
TrackID: 4 HitID: 40 energy: 0.00472032
TrackID: 4 HitID: 40 energy: 0.00311541
TrackID: 4 HitID: 41 energy: 0.00472032
TrackID: 4 HitID: 41 energy: 0.00110928
TrackID: 4 HitID: 42 energy: 0.00472032
TrackID: 4 HitID: 42 energy: 0.00306821
TrackID: 4 HitID: 43 energy: 0.00472032
TrackID: 4 HitID: 43 energy: 0.000684447
TrackID: 4 HitID: 44 energy: 0.00413028
TrackID: 4 HitID: 45 energy: 0.00453151
TrackID: 4 HitID: 46 energy: 0.00278499
TrackID: 4 HitID: 47 energy: 0.00450791
TrackID: 4 HitID: 48 energy: 0.00250177
TrackID: 4 HitID: 49 energy: 0.00365825
TrackID: 4 HitID: 50 energy: 0.00238376
TrackID: 4 HitID: 51 energy: 0.00193533
TrackID: 4 HitID: 52 energy: 0.00103847
TrackID: 4 HitID: 53 energy: 0.00101487
TrackID: 4 HitID: 54 energy: 0.0014633
TrackID: 4 HitID: 55 energy: 0.000637243
TrackID: 4 HitID: 56 energy: 0.000236016
TrackID: 4 HitID: 57 energy: 0.000613642
TrackID: 4 HitID: 58 energy: 0.00014161
TrackID: 4 HitID: 59 energy: 0.000212414
TrackID: 4 HitID: 60 energy: 0.000188813
TrackID: 4 HitID: 61 energy: 0.000212414
TrackID: 5 HitID: 31 energy: 0.00160491
TrackID: 5 HitID: 32 energy: 0.00472032
TrackID: 5 HitID: 32 energy: 0.00472032
TrackID: 5 HitID: 32 energy: 0.0014869
TrackID: 5 HitID: 33 energy: 0.00472032
TrackID: 5 HitID: 33 energy: 0.00472032
TrackID: 5 HitID: 33 energy: 0.000613642
TrackID: 5 HitID: 34 energy: 0.00285579
TrackID: 5 HitID: 35 energy: 0.00132169
TrackID: 5 HitID: 36 energy: 0.00177012
TrackID: 5 HitID: 37 energy: 0.00269058
TrackID: 5 HitID: 38 energy: 4.72032e-05
TrackID: 6 HitID: 22 energy: 0
TrackID: 6 HitID: 23 energy: 0.000778853
TrackID: 6 HitID: 24 energy: 0.000802455
TrackID: 6 HitID: 25 energy: 0.000495634
TrackID: 6 HitID: 26 energy: 0.000306821
TrackID: 6 HitID: 27 energy: 0.000354024
TrackID: 6 HitID: 28 energy: 0
TrackID: 6 HitID: 29 energy: 2.36016e-05
TrackID: 6 HitID: 30 energy: 0.000259618
TrackID: 7 HitID: 21 energy: 0
TrackID: 8 HitID: 19 energy: 0.00014161
TrackID: 8 HitID: 20 energy: 0.00120368
TrackID: 9 HitID: 7 energy: 0.000495634
TrackID: 9 HitID: 8 energy: 0.00132169
TrackID: 9 HitID: 9 energy: 0.00226575
TrackID: 9 HitID: 10 energy: 0.000519235
TrackID: 9 HitID: 11 energy: 0.000330422
TrackID: 9 HitID: 12 energy: 0.000259618
TrackID: 9 HitID: 13 energy: 0.000306821
TrackID: 9 HitID: 14 energy: 0.000306821
TrackID: 9 HitID: 15 energy: 0.000188813
TrackID: 9 HitID: 16 energy: 0.000118008
TrackID: 9 HitID: 17 energy: 0.000118008
TrackID: 9 HitID: 18 energy: 9.44064e-05
Primary TrackID: 1 Energy: 1
TrackID: 1 HitID: 0 energy: 0
TrackID: 1 HitID: 1 energy: 0
TrackID: 1 HitID: 2 energy: 0
TrackID: 1 HitID: 3 energy: 0
TrackID: 1 HitID: 4 energy: 0
TrackID: 1 HitID: 5 energy: 0
TrackID: 1 HitID: 6 energy: 0
TrackID: 1 HitID: 7 energy: 0
TrackID: 2 HitID: 54 energy: 0.00110928
TrackID: 2 HitID: 55 energy: 0.0014397
TrackID: 2 HitID: 56 energy: 0.000849658
TrackID: 2 HitID: 57 energy: 0.00266698
TrackID: 2 HitID: 58 energy: 0.00405948
TrackID: 2 HitID: 59 energy: 0.00155771
TrackID: 2 HitID: 60 energy: 0.00160491
TrackID: 2 HitID: 61 energy: 0.00155771
TrackID: 2 HitID: 62 energy: 0.00179372
TrackID: 2 HitID: 63 energy: 0.0015341
TrackID: 2 HitID: 64 energy: 0.00193533
TrackID: 2 HitID: 65 energy: 0.00165211
TrackID: 2 HitID: 66 energy: 0.00177012
TrackID: 2 HitID: 67 energy: 0.0015105
TrackID: 2 HitID: 68 energy: 0.00103847
TrackID: 2 HitID: 69 energy: 0.00125089
TrackID: 2 HitID: 70 energy: 0.000613642
TrackID: 2 HitID: 71 energy: 0.000873259
TrackID: 2 HitID: 72 energy: 0.000637243
TrackID: 2 HitID: 73 energy: 0.000283219
TrackID: 2 HitID: 74 energy: 0.000236016
TrackID: 2 HitID: 75 energy: 0.000212414
TrackID: 2 HitID: 76 energy: 0.000236016
TrackID: 2 HitID: 77 energy: 0.000165211
TrackID: 2 HitID: 78 energy: 0.00014161
TrackID: 2 HitID: 79 energy: 9.44064e-05
TrackID: 2 HitID: 80 energy: 9.44064e-05
TrackID: 2 HitID: 81 energy: 7.08048e-05
TrackID: 2 HitID: 82 energy: 7.08048e-05
TrackID: 2 HitID: 83 energy: 0
TrackID: 2 HitID: 84 energy: 0
TrackID: 2 HitID: 85 energy: 7.08048e-05
TrackID: 3 HitID: 36 energy: 0.000401227
TrackID: 3 HitID: 37 energy: 0.000849658
TrackID: 3 HitID: 38 energy: 0.00160491
TrackID: 3 HitID: 39 energy: 0.000991267
TrackID: 3 HitID: 40 energy: 0.000967666
TrackID: 3 HitID: 41 energy: 0.00073165
TrackID: 3 HitID: 42 energy: 0.00044843
TrackID: 3 HitID: 43 energy: 0.000354024
TrackID: 3 HitID: 44 energy: 0.000212414
TrackID: 3 HitID: 45 energy: 0.00014161
TrackID: 3 HitID: 46 energy: 0.000188813
TrackID: 3 HitID: 47 energy: 7.08048e-05
TrackID: 3 HitID: 48 energy: 7.08048e-05
TrackID: 3 HitID: 49 energy: 0
TrackID: 3 HitID: 50 energy: 0
TrackID: 3 HitID: 51 energy: 0
TrackID: 3 HitID: 52 energy: 0
TrackID: 3 HitID: 53 energy: 9.44064e-05
TrackID: 4 HitID: 33 energy: 2.36016e-05
TrackID: 4 HitID: 34 energy: 0.000306821
